日付,出現,確率,閾値40,閾値50,閾値60,
2006/7/1,×,60%,空振り,空振り,空振り,雲海は4:30で消滅
2006/7/2,△,70%,適中,適中,適中,5:30で消滅
2006/7/3,○,40%,適中,見逃し,見逃し,雲海BEST
2006/7/4,○,80%,適中,適中,適中,雲海BEST
2006/7/5,○,70%,適中,適中,適中,雲海BEST
2006/7/6,×,60%,空振り,空振り,空振り,4:00に出現、その後雲中
2006/7/7,○,20%,見逃し,見逃し,見逃し,雲海出現、雨で中止
2006/7/8,○,60%,適中,適中,適中,雲海BEST、雨あがり
2006/7/9,△,80%,適中,適中,適中,霧発生、8:00以降で雲海出現
2006/7/10,×,90%,空振り,空振り,空振り,霧の中
2006/7/11,○,60%,適中,適中,適中,幻想的雲海出現5:00～7:00
2006/7/12,×,30%,適中なし,適中なし,適中なし,中止
2006/7/13,△,70%,適中,適中,適中,霧、7:00頃エリア内見え出す
2006/7/14,×,50%,空振り,空振り,適中なし,霧、朝一多少あり
2006/7/15,×,40%,空振り,適中なし,適中なし,霧、気球中止のせいか客は多い
2006/7/16,×,50%,空振り,空振り,適中なし,霧、気球中止のせいか客は多い
2006/7/17,○,40%,適中,見逃し,見逃し,雲海最高だが7:20頃霧の中
2006/7/18,×,50%,空振り,空振り,適中なし,中止
2006/7/19,×,70%,空振り,空振り,空振り,霧
2006/7/20,△,70%,適中,適中,適中,雲海出現、6:30頃霧になる
2006/7/21,○,80%,適中,適中,適中,雲海出現、6:30頃霧になる、その後また出現
2006/7/22,×,50%,空振り,空振り,適中なし,霧のため6:20で中止、テーブルが濡れるため
2006/7/23,△,70%,適中,適中,適中,雲海は6:00で消滅
2006/7/24,×,70%,空振り,空振り,空振り,中止
2006/7/25,×,50%,空振り,空振り,適中なし,霧から雨
2006/7/26,×,70%,空振り,空振り,空振り,晴れ、エリア内がみえる
2006/7/27,△,70%,適中,適中,適中,雲海は6:00で消滅
2006/7/28,△,80%,適中,適中,適中,雲海は6:00で消滅
2006/7/29,○,80%,適中,適中,適中,雲海BEST
2006/7/30,×,80%,空振り,空振り,空振り,霧
2006/7/31,○,80%,適中,適中,適中,6:30まで雲海BEST、以降霧
2006/8/1,○,90%,適中,適中,適中,雲海BEST
2006/8/2,○,80%,適中,適中,適中,串内からの流れ雲海
2006/8/3,×,90%,空振り,空振り,空振り,中止
2006/8/4,×,40%,空振り,適中なし,適中なし,雲中
2006/8/5,×,50%,空振り,空振り,適中なし,霧、時々晴れ
2006/8/6,×,60%,空振り,空振り,空振り,快晴
2006/8/7,×,60%,空振り,空振り,空振り,快晴
2006/8/8,×,50%,空振り,空振り,適中なし,快晴
2006/8/9,△,50%,適中,適中,見逃し,下部に雲海　　もやがある
2006/8/10,○,60%,適中,適中,適中,雲海出現、朝一より6:00以降がBEST
2006/8/11,×,30%,適中なし,適中なし,適中なし,霧雨、中止
2006/8/12,×,30%,適中なし,適中なし,適中なし,霧雨、中止
2006/8/13,○,60%,適中,適中,適中,雲海BEST
2006/8/14,○,90%,適中,適中,適中,雲海BEST、8:00以降もあり
2006/8/15,○,60%,空振り,空振り,空振り,雲海BEST
2006/8/16,×,50%,空振り,空振り,空振り,中止、短時間出現
2006/8/17,×,60%,空振り,空振り,適中なし,中止
2006/8/18,×,30%,適中なし,適中なし,適中なし,中止
2006/8/19,×,30%,適中なし,適中なし,適中なし,中止、7:00頃まで出現
2006/8/20,×,90%,空振り,空振り,空振り,7:00から少し出現
2006/8/21,×,70%,空振り,空振り,空振り,中止
2006/8/22,○,70%,適中,適中,適中,雲海BEST、途中雲中に入るが直ぐ出現
2006/8/23,×,50%,空振り,空振り,適中なし,雲海出現したが6:00頃から雲中
2006/8/24,×,40%,空振り,適中なし,適中なし,雲中、6:15～6:45間出現
2006/8/25,×,70%,空振り,空振り,空振り,雲中、6:30から晴れ
2006/8/26,○,80%,適中,適中,適中,下部での雲海（雲海もどき）7:00頃まであり
2006/8/27,○,70%,適中,適中,適中,下部での雲海（雲海もどき）8:30頃まであり、タワー上部見える
2006/8/28,×,70%,空振り,空振り,空振り,雲中
2006/8/29,×,50%,空振り,空振り,適中なし,中止
2006/8/30,△,20%,見逃し,見逃し,見逃し,朝一雲海、5:30～7:00間雲中、その後雲海
2006/8/31,×,50%,空振り,空振り,適中なし,中止
2006/9/1,×,50%,空振り,空振り,適中なし,霧で中止
2006/9/2,△,60%,適中,適中,適中,占冠方面に多少雲海あり
2006/9/3,×,60%,空振り,空振り,空振り,晴れで雲海無し
2006/9/4,○,60%,適中,適中,適中,左側に雲海あり
2006/9/5,×,30%,適中なし,適中なし,適中なし,早朝朝日が見えていたが、雨になる
2006/9/6,×,70%,空振り,空振り,空振り,晴れで雲海無し、十勝方面に少しあり
2006/9/7,×,50%,空振り,空振り,適中なし,霧から雨になり中止
2006/9/8,△,50%,適中,適中,見逃し,雲海モドキ
2006/9/9,×,60%,空振り,空振り,空振り,霧雨になる。
2006/9/10,○,60%,適中,適中,適中,雲海BEST
2006/9/11,×,70%,空振り,空振り,空振り,山頂のみ霧で中止
2006/9/12,×,70%,空振り,空振り,空振り,上トマム、駅周辺に出現
2006/9/13,○,60%,適中,適中,適中,日の出と共に出現
2006/9/14,△,60%,適中,適中,適中,下の方に少しあり
2006/9/15,△,60%,適中,適中,適中,下の方に少しあり、直ぐ消滅
2006/9/16,△,60%,適中,適中,適中,コンコ付近に少しあり
2006/9/17,○,50%,適中,適中,見逃し,十勝方面からの流れ雲海BEST
2006/9/18,△,60%,空振り,空振り,空振り,雲海無し
